Exercise Name,Muscle Group,Exercise Image URL,Muscles Worked Image,Commentary,Page URL,Avg Rep,Avg Break
Decline Push-Up,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/05/Decline-push-up.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Muscles-worked-by-kneelings-push-ups-exercise-1024x1024.jpg?resize=700%2C700&ssl=1,"The push-up is a classic bodyweight exercise for the upper body, with the benefit that you don’t need any equipment to perform it. In push-ups, you lift about 70% of your own body weight, but you can increase or decrease that amount by placing your feet or hands, respectively, on an elevation. This version of the push-up increases the load since your feet are elevated to a sofa, chair, bench, weight plates, or whatever you are using. You can also vary the exercise by placing your hands closer och wider apart, which will transfer more of the load to the triceps or chest, respectively. A hidden bonus with push-ups is that you also get some static training of your core, similar to that of the plank exercise. To get even more core training, you can do your push-ups with either your hands or feet in a pair of suspended gymnastic rings or similar.",https://www.strengthlog.com/decline-push-up/,4,120
Dumbbell Chest Fly,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Chest-Fly.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/06/Muscles-worked-by-dumbbell-chest-flyes-2.png?resize=700%2C700&ssl=1,,https://www.strengthlog.com/dumbbell-chest-fly/,6,120
Dumbbell Chest Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Chest-Press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-dumbbell-chest-press.png?resize=700%2C700&ssl=1,"The dumbbell chest press is a pressing exercise similar to the barbell bench press, except that it is performed with dumbbells. Using dumbbells decreases the stability compared to using a barbell, which increases the demands on stabilization from your shoulder musculature, and it might also decrease the total amount of weight you are able to lift. In return, many experience that they can lift in a better position and with a better range of motion when they use dumbbells instead of a bar.",https://www.strengthlog.com/dumbbell-chest-press/,5,120
Dumbbell Decline Chest Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/02/dumbbell-decline-chest-press.gif?resize=600%2C601&ssl=1,,"Decline dumbbell press is a dumbbell press variation that shifts more of the load to your lower chest muscle fibers. Using dumbbells decreases the stability compared to using a barbell, which increases the demands on stabilization from your shoulder musculature, and it might also decrease the total amount of weight you are able to lift. In return, many experience that they can lift in a better position and with a better range of motion when they use dumbbells instead of a bar.",https://www.strengthlog.com/dumbbell-decline-chest-press/,5,120
Dumbbell Floor Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2022/09/dumbbell-floor-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-floor-press-exercise-1024x1024.png?resize=700%2C700&ssl=1,"The dumbbell floor press is a variant of the dumbbell chest press where you lie on the floor instead of a bench, which limits the range of motion since your upper arms will stop against the floor. It’s a great alternative to the dumbbell chest press if you train at home and don’t have a weight bench.",https://www.strengthlog.com/dumbbell-floor-press/,5,120
Dumbbell Pullover,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Pullover.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-dumbbell-pullover.png?resize=700%2C700&ssl=1,"Pullover is an exercise that can be used to train both the chest and/or lat muscles, depending on how you perform the exercise. Focus on contact in the muscle you want to train, and prioritize form over load. A dumbbell or a small barbell are good options for resistance.",https://www.strengthlog.com/dumbbell-pullover/,5,120
Feet-Up Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/09/Feet-Up-Bench-Press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/09/Muscles-worked-in-the-bench-press-feet-up-exercise-1024x1024.jpg?resize=700%2C700&ssl=1,"The feet-up bench press is a variant of the bench press. By raising your feet you will get to practice creating stability in your upper body instead, and you will generally also have less of an arch, which might contribute to a longer range of motion.",https://www.strengthlog.com/feet-up-bench-press/,5,180
Floor Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Floor-Press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-floor-press-exercise-1024x1024.png?resize=700%2C700&ssl=1,"The floor press is a variant of the bench press where you lie on the floor instead of a bench, which limits the range of motion since your upper arms will stop against the floor. This can help you overload the top portion of the bench press movement. The best way to get into the starting position is if you can unrack the bar from a power rack that you can reach from the floor. Set the rack height so that you only have to extend your arms slightly to unrack the bar. If you cannot find a rack that goes low enough, other options would be to place the bar on blocks, have a spotter hand it to you, or heave it up from the floor using your abdomen. Read more: Floor Press vs. Bench Press for Strength: Benefits & Differences",https://www.strengthlog.com/floor-press/,5,180
Incline Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Incline-Bench-Press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-incline-bench-press.png?resize=700%2C700&ssl=1,"The incline bench press is a mixture of the regular bench press and the overhead press, and both the front deltoids and the upper portions of the chest muscles are trained in this exercise. Thanks to the bench’s inclination, many experience this exercise as easy on their shoulders and that they can get a nice, long range of motion. This exercise can also be performed with dumbbells (see dumbbell incline press) or in a smith machine (see smith machine incline press).",https://www.strengthlog.com/incline-bench-press/,5,180
Incline Dumbbell Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Incline-Press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/04/muscles-worked-by-dumbbell-incline-press-female.png?resize=700%2C700&ssl=1,,https://www.strengthlog.com/dumbbell-incline-press/,5,180
Incline Push-Up,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/03/incline-push-up-exercise-technique.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Muscles-worked-by-kneelings-push-ups-exercise-1024x1024.jpg?resize=700%2C700&ssl=1,"The push-up is a classic bodyweight exercise for the upper body, with the benefit that you don’t need any equipment to perform it. In push-ups, you lift about 70% of your own body weight, but you can increase or decrease that amount by placing your feet or hands, respectively, on an elevation. This version of the push-up decreases the load since your hands are elevated to the sofa, chair, bench or whatever you are using. You can also vary the exercise by placing your hands closer och wider apart, which will transfer more of the load to the triceps or chest, respectively. A hidden bonus with push-ups is that you also get some static training of your core, similar to that of the plank exercise. To get even more core training, you can do your push-ups with either your hands or feet in a pair of suspended gymnastic rings or similar.",https://www.strengthlog.com/incline-push-up/,4,120
Kettlebell Floor Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/02/kettlebell-floorpress.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-floor-press-exercise-1024x1024.png?resize=700%2C700&ssl=1,"The kettlebell floor press is a variant of the dumbbell chest press where you lie on the floor instead of a bench, which limits the range of motion since your upper arms will stop against the floor. It’s a great alternative to the dumbbell chest press if you train at home and don’t have a weight bench.",https://www.strengthlog.com/kettlebell-floor-press/,5,120
Kneeling Incline Push-Up,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Kneeling-incline-push-up.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Muscles-worked-by-kneeling-incline-push-up.jpg?resize=700%2C700&ssl=1,"Incline push-ups on your knees is an easier variant of push-ups, which you can use to build up your strength before you move on to more advanced variants. Suitable next steps after this exercise are kneeling push-ups on flat ground, or incline push-ups standing on your feet.",https://www.strengthlog.com/kneeling-incline-push-up/,4,120
Kneeling Push-Up,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Kneeling-push-ups.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Muscles-worked-by-kneelings-push-ups-exercise-1024x1024.jpg?resize=700%2C700&ssl=1,"This is an easier version of the classic push-up. In regular push-ups on your feet, you lift about 70% of your own body weight, but in kneeling push-ups, you only lift about 55% of your body weight. Therefore, this exercise variation can serve as a useful training tool to increase your strength until you can do regular push-ups.",https://www.strengthlog.com/kneeling-push-up/,4,120
Machine Chest Fly,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/machine-chest-fly.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/07/Muscles-worked-by-machine-chest-fly.png?resize=700%2C700&ssl=1,,https://www.strengthlog.com/machine-chest-fly/,5,120
Machine Chest Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/machine-chest-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-machine-chest-press.png?resize=700%2C700&ssl=1,"The machine chest press is an exercise that offers more stability, and requires less balance and coordination than chest presses with for example dumbbells or a barbell. That could lead to increased focus on the muscles worked, and also makes it easy to learn for a beginner. See also: Chest Press vs. Bench Press: Pros and Cons",https://www.strengthlog.com/machine-chest-press/,5,120
Pec Deck,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/04/pec-deck.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-pec-deck.png?resize=700%2C700&ssl=1,"Pec deck is an isolation exercise for the chest and front deltoids, where you have an even and constant load on your chest muscles throughout the whole range of motion.",https://www.strengthlog.com/pec-deck/,5,120
Pin Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/02/pin-bench-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/02/muscles-worked-pin-bench-press-1.png?resize=700%2C700&ssl=1,"The pin press can be effective for improving lockout strength and keeping tightness in your arching in the bench press. Remember to keep the tension in your body the entire movement, even in the bottom position.",https://www.strengthlog.com/pin-bench-press/,5,180
Push-Up,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Push-up.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/06/Muscles-worked-in-push-ups.jpg?resize=563%2C563&ssl=1,"The push-up is a classic bodyweight exercise for the upper body, with the benefit that you don’t need any equipment to perform it. In push-ups, you lift about 70% of your own body weight, but you can increase or decrease that amount by placing your feet or hands, respectively, on an elevation. In kneeling push-ups, you lift about 55% of your body weight. You can also vary the exercise by placing your hands closer or wider apart, which will transfer more of the load to the triceps or chest, respectively. A hidden bonus with push-ups is that you also get some static training of your core, similar to that of the plank exercise. To get even more core training, you can do your push-ups with either your hands or feet in a pair of suspended gymnastic rings or similar.",https://www.strengthlog.com/push-up/,4,120
Push-Up Against Wall,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/03/pushups-against-wall.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Muscles-worked-by-kneeling-incline-push-up.jpg?resize=700%2C700&ssl=1,"The push-up is a classic body weight exercise for the upper body, with the benefit that you don’t need any equipment to perform it. In push-ups, you lift about 70% of your own body weight, but you can increase or decrease that amount by placing your feet or hands, respectively, on an elevation. This version of the push-up decreases the load since your hands are elevated to the wall. You can also vary the exercise by placing your hands closer och wider apart, which will transfer more of the load to the triceps or chest, respectively. A hidden bonus with push-ups is that you also get some static training of your core, similar to that of the plank exercise. To get even more core training, you can do your push-ups with either your hands or feet in a pair of suspended gymnastic rings, or similar.",https://www.strengthlog.com/push-up-against-wall/,3,120
Push-Ups With Feet in Rings,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/01/Push-ups-with-feet-in-rings.gif?resize=600%2C600&ssl=1,,"The pushup is a classic bodyweight exercise for the upper body, with the benefit that you don’t need any equipment to perform it. In push-ups, you lift about 70% of your own body weight, but you can increase or decrease that load by placing your hands or feet, respectively, on an elevation. This version of a push-up increases the load since your feet are elevated, and it also challenges your core and balance due to the instability.",https://www.strengthlog.com/push-ups-with-feet-in-rings/,4,120
Resistance Band Chest Fly,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2022/10/resistance-band-chest-fly-ezgif.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2022/10/Muscles-worked-by-resistance-band-chest-flyes-1024x1024-1-1024x1024.png?resize=700%2C700&ssl=1,"The resistance band chest fly is an isolation exercise for the chest and front deltoids. Compared to dumbbell chest flyes, the resistance curve in band chest flyes is more evenly distributed, and you have more of a constant load on your chest muscles throughout the whole range of motion.",https://www.strengthlog.com/resistance-band-chest-fly/,5,120
Ring Dip,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/11/dips-i-ringar.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/11/muscles-worked-ring-dip.png?resize=700%2C700&ssl=1,"The ring dip is a heavy upper-body exercise, and for most people it’s heavy enough to give a good training effect with the body weight alone as resistance. If you are unaccustomed to dips, they might feel quite stressful on your shoulders and sternum, and in that case (and actually in almost all cases) it might be a good idea to very gradually increase the training volume. If the exercise is too light, you can increase the resistance by using a weighted belt or by holding a dumbbell between your legs. If on the other hand, the exercise is too heavy, you can make it easier by having another person lift up your legs or by using a dip machine.",https://www.strengthlog.com/ring-dip/,5,120
Smith Machine Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/04/smith-machine-bench-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-in-smith-machine-bench-press-exercise-1024x1024.jpg?resize=700%2C700&ssl=1,"Smith bench press differs from barbell bench press primarily by its completely straight bar path, instead of a slightly arched one. The exercise also has lower requirements for stabilization and balance, which could make it easier to focus on the muscles trained.",https://www.strengthlog.com/smith-machine-bench-press/,5,180
Smith Machine Incline Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/04/smith-machine-incline-bench-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-Smith-Machine-Incline-Bench-Press.png?resize=700%2C700&ssl=1,"Smith incline bench press differs from incline barbell bench press primarily by its completely straight bar path, instead of a slightly arched one. The exercise also has lower requirements for stabilization and balance, which could make it easier to focus on the muscles trained. Due to the inclined bench, this exercise emphasizes your upper chest.",https://www.strengthlog.com/smith-machine-incline-bench-press/,5,180
Smith Machine Reverse Grip Bench Press,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/11/Smithmachinereverse-grip-bench-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-floor-press-exercise-1024x1024.png?resize=700%2C700&ssl=1,"The reverse grip bench press in the smith machine effectively targets the upper chest and triceps, with a unique grip angle that might reduce the stress on your shoulder joints.",https://www.strengthlog.com/smith-machine-reverse-grip-bench-press/,5,180
Standing Cable Chest Fly,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/cable-chest-fly.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/06/muscles-worked-in-standing-cable-flyes.png?resize=700%2C700&ssl=1,,https://www.strengthlog.com/standing-cable-chest-fly/,5,120
Standing Resistance Band Chest Fly,Chest,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/02/standing-resistance-band-chest-fly.gif?resize=600%2C600&ssl=1,,,https://www.strengthlog.com/standing-resistance-band-chest-fly/,5,120
Arnold Press,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/10/arnold-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/10/muscles-worked-arnold-press2.png?resize=700%2C700&ssl=1,The Arnold Press is a variation of the dumbbell shoulder press that primarily targets the front and medial parts of the shoulder. It can improve both your shoulder strength and stability. The exercise is named after Arnold Schwarzenegger.,https://www.strengthlog.com/arnold-press/,5,180
Band External Shoulder Rotation,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Band-shoulder-external-rotation.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Muscles-worked-by-band-shoulder-external-rotation.jpg?resize=700%2C700&ssl=1,"External rotations against an elastic band train your posterior rotator cuff muscles, mainly infraspinatus. Alternatives to using a band are to use a cable pulley, or a dumbbell (while lying down).",https://www.strengthlog.com/band-external-shoulder-rotation/,4,120
Band Internal Shoulder Rotation,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Band-shoulder-internal-rotation.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Muscles-worked-by-band-shoulder-external-rotation.jpg?resize=700%2C700&ssl=1,"Internal rotations against an elastic band train your anterior rotator cuff muscles (subscapularis). Alternatives to using a band are to use a cable pulley, or a dumbbell (while lying down).",https://www.strengthlog.com/band-internal-shoulder-rotation/,4,120
Band Pull-Apart,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/04/Band-Pull-Apart.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-band-pull-aparts-1.png?resize=700%2C700&ssl=1,"Band pull-apart is a popular warm-up exercise for the shoulders, often done before upper body exercises such as bench press. Experiment with your grip width on the band, as well as band strength, to find the right resistance.",https://www.strengthlog.com/band-pull-apart/,4,120
Barbell Front Raise,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Barbell-Front-Raise.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-barbell-front-raise.png?resize=700%2C700&ssl=1,"This is an exercise where it is easy to pick a weight that is too heavy. Rather err on the lighter side, and strive for a strict form where you focus on getting a good contact with your delts.",https://www.strengthlog.com/barbell-front-raise/,5,120
Barbell Rear Delt Row,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/01/Barbell-Rear-Delt-Row.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/01/Muscles-worked-in-rear-delt-row.jpg?resize=700%2C700&ssl=1,"Barbell rear delt row is a great rear delt exercise. To avoid cheating or swinging the weight up, make sure you use a light weight and focus on muscle contact with your rear delts.",https://www.strengthlog.com/barbell-rear-delt-row/,5,120
Barbell Upright Row,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/11/Barbell-upright-row.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2023/07/Muscles-worked-by-barbell-upright-row.png?resize=700%2C700&ssl=1,,https://www.strengthlog.com/barbell-upright-row/,5,120
Behind the Neck Press,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/01/Behind-the-neck-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/01/Muscles-worked-in-behind-the-neck-press.png?resize=700%2C700&ssl=1,"Behind the neck press trains the strength, stability, and mobility of your shoulders. This exercise can also be performed with the aid of your legs, like in a push press or jerk.",https://www.strengthlog.com/behind-the-neck-press/,5,180
Cable Lateral Raise,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/cable-lateral-raise.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-cable-lateral-raise.png?resize=700%2C700&ssl=1,"This is an exercise where it is easy to pick a weight that is too heavy. Rather err on the lighter side, and strive for a strict form where you focus on getting good contact with your delts.",https://www.strengthlog.com/cable-lateral-raise/,5,120
Cable Rear Delt Row,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/cable-rear-delt-row.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-cable-rear-delt-row.png?resize=700%2C700&ssl=1,"This variation of the cable row focus the work to the rear deltoids and your upper back musculature. Start with a light weight in this exercise, and prioritize form and muscle contact before weights.",https://www.strengthlog.com/cable-rear-delt-row/,5,120
Cuban Press,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/10/cuban-press.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/10/muscles-worked-cuban-press.png?resize=700%2C700&ssl=1,"The Cuban Press is a good exercise for targeting your shoulders and rotator cuff, helping with stability and strength in overhead movements.",https://www.strengthlog.com/cuban-press/,5,120
Dumbbell Front Raise,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Dumbbell-Front-Raise.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/10/Muscles-worked-by-dumbbell-front-raise.png?resize=700%2C700&ssl=1,"This is an exercise where it is easy to pick a weight that is too heavy. Rather err on the lighter side, and strive for a strict form where you focus on getting good contact with your delts.",https://www.strengthlog.com/dumbbell-front-raise/,5,120
Dumbbell Horizontal Internal Shoulder Rotation,Shoulder,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/DB-horizontal-internal-shoulder-rotation.gif?resize=600%2C600&ssl=1,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/12/Muscles-worked-by-band-shoulder-external-rotation.jpg?resize=700%2C700&ssl=1,"Internal rotations train your anterior rotator cuff muscles (subscapularis). By placing your upper arm out to your side, you train the subscapularis at a slightly longer muscle length, compared to when you keep your upper arm close to your side.",https://www.strengthlog.com/dumbbell-horizontal-internal-shoulder-rotation/,4,120
